season,date,team,rival_team,home_adv,last_season_team,last_season_rival,pct_wins,avg_goals_scored,avg_goals_received,goal_difference,pct_wins_rival,avg_goals_scored_rival,avg_goals_received_rival,goal_difference_rival,pct_wins_vs_rival,avg_goals_scored_vs_rival,avg_goals_received_vs_rival,goal_difference_vs_rival,AvgH,AvgD,AvgA,goals_team,goals_rival,result
2010-11,2010-11-14,Hercules,Sociedad,1,21,21,0.2,0.9,1.5,-6,0.5,1.3,1.2,1,0.0,0.0,0.0,0,2.15,3.28,3.41,2,1,1
2010-11,2010-11-14,Malaga,Levante,1,17,21,0.2,1.4,2.2,-8,0.2,1.0,1.8,-8,1.0,1.0,0.0,2,1.91,3.5,3.86,1,0,1
2010-11,2010-11-14,Mallorca,La Coruna,1,5,10,0.4,1.1,1.2,-1,0.2,0.8,1.5,-7,0.4,0.8,0.4,2,1.81,3.43,4.53,0,0,0
2010-11,2010-11-14,Santander,Espanol,1,16,11,0.3,0.9,1.6,-7,0.6,0.9,1.3,-4,0.8,2.6,0.4,11,2.32,3.18,3.12,0,0,0
2010-11,2010-11-14,Sp Gijon,Real Madrid,1,15,2,0.2,1.0,1.6,-6,0.8,2.7,0.5,22,0.0,0.5,3.5,-12,11.14,5.46,1.27,0,1,-1
2010-11,2010-11-14,Valencia,Getafe,1,3,6,0.5,1.4,1.1,3,0.4,1.5,1.6,-1,0.6,2.0,1.0,5,1.61,3.81,5.45,2,0,1
2010-11,2010-11-14,Zaragoza,Sevilla,1,14,4,0.1,1.0,1.7,-7,0.5,1.6,1.6,0,0.4,1.2,2.6,-7,3.03,3.29,2.33,1,2,-1
2010-11,2010-11-20,Almeria,Barcelona,1,13,1,0.1,0.8,1.0,-2,0.8,2.2,0.8,14,0.0,0.8,2.4,-8,11.57,5.56,1.26,0,8,-1
2010-11,2010-11-20,Real Madrid,Ath Bilbao,1,2,8,0.9,2.8,0.5,23,0.4,1.8,1.8,0,0.8,3.2,1.2,10,1.18,6.61,15.0,5,1,1
2010-11,2010-11-20,Villarreal,Valencia,1,7,3,0.7,2.2,1.0,12,0.5,1.3,1.0,3,0.6,2.4,1.6,4,2.06,3.43,3.46,1,1,0
2010-11,2010-11-21,Espanol,Hercules,1,11,21,0.5,0.6,1.2,-6,0.3,1.1,1.5,-4,0.0,0.0,0.0,0,1.94,3.34,3.98,3,0,1
2010-11,2010-11-21,La Coruna,Malaga,1,10,17,0.2,0.8,1.5,-7,0.3,1.4,1.9,-5,0.6,1.2,0.4,4,2.2,3.26,3.24,3,0,1
2010-11,2010-11-21,Levante,Santander,1,21,16,0.2,0.9,1.5,-6,0.3,0.9,1.3,-4,0.4,1.6,1.2,2,2.34,3.24,3.04,3,1,1
2010-11,2010-11-21,Osasuna,Sp Gijon,1,12,15,0.3,1.1,1.3,-2,0.2,1.0,1.3,-3,0.25,1.25,1.75,-2,1.86,3.4,4.3,1,0,1
2010-11,2010-11-21,Sevilla,Mallorca,1,4,5,0.5,1.4,1.6,-2,0.4,1.1,1.2,-1,0.8,2.2,0.8,7,1.63,3.81,5.29,1,2,-1
